id_ke;date_ke;ke;target_ke
1;07/03/2023;28;63
2;24/04/2023;43;63
3;19/01/2023;46;60
4;06/06/2023;46;63
5;24/01/2023;47;60
6;23/02/2023;48;63
7;25/01/2023;49;60
8;26/04/2023;49;63
9;12/12/2022;50;63
10;13/12/2022;50;63
11;15/02/2023;50;63
12;14/04/2023;50;63
13;16/04/2023;50;63
14;28/04/2023;50;63
15;01/05/2023;50;63
16;23/01/2023;51;60
17;06/12/2022;52;63
18;22/05/2023;52;63
19;10/01/2023;53;63
20;17/01/2023;53;60
21;16/02/2023;53;63
23;29/05/2023;53;63
24;11/01/2023;54;60
25;13/01/2023;54;60
26;18/01/2023;54;60
27;22/03/2023;54;63
28;23/03/2023;54;63
29;21/04/2023;54;63
30;23/04/2023;54;63
31;15/12/2022;55;63
32;03/01/2023;55;63
33;28/02/2023;55;63
34;01/03/2023;55;63
35;14/12/2022;56;63
36;09/01/2023;56;63
37;12/01/2023;56;60
38;02/03/2023;56;63
39;21/03/2023;56;63
40;17/02/2023;57;63
41;22/02/2023;57;63
42;09/05/2023;57;63
43;16/05/2023;57;63
44;17/05/2023;57;63
45;21/05/2023;57;63
46;23/05/2023;57;63
47;05/12/2022;58;63
48;14/02/2023;58;63
49;20/03/2023;58;63
50;20/04/2023;58;63
51;01/06/2023;58;63
52;27/02/2023;59;63
53;05/04/2023;59;63
54;06/04/2023;59;63
55;13/04/2023;59;63
56;31/05/2023;59;63
57;07/06/2023;59;63
58;19/04/2023;60;63
59;16/01/2023;60;60
60;21/02/2023;60;63
61;18/04/2023;60;63
62;25/04/2023;60;63
63;27/04/2023;60;63
64;10/05/2023;60;63
65;02/06/2023;60;63
66;04/06/2023;60;63
67;31/03/2023;61;63
68;02/04/2023;61;63
69;04/04/2023;61;63
70;23/12/2022;62;63
71;20/01/2023;62;60
72;22/01/2023;62;60
73;27/01/2023;62;63
74;29/01/2023;62;63
75;01/02/2023;62;63
76;10/02/2023;62;63
77;14/03/2023;62;63
78;03/04/2023;62;63
79;15/05/2023;62;63
80;25/05/2023;62;63
81;30/05/2023;62;63
82;05/06/2023;62;63
83;04/01/2023;63;63
84;26/01/2023;63;60
85;07/02/2023;63;63
86;09/02/2023;63;63
87;20/02/2023;63;63
88;04/05/2023;63;63
89;11/05/2023;63;63
90;20/12/2022;64;63
91;21/12/2022;64;63
92;22/12/2022;64;63
93;05/01/2023;64;63
94;02/02/2023;64;63
95;09/03/2023;64;63
96;13/03/2023;64;63
97;27/03/2023;64;63
98;11/04/2023;64;63
99;03/05/2023;64;63
100;05/05/2023;64;63
101;12/05/2023;64;63
102;14/05/2023;64;63
103;24/05/2023;64;63
104;16/12/2022;65;63
105;03/02/2023;65;63
106;10/03/2023;65;63
107;12/03/2023;65;63
108;15/03/2023;65;63
109;17/03/2023;65;63
110;19/03/2023;65;63
111;17/04/2023;65;63
112;08/03/2023;66;63
113;16/03/2023;66;63
114;30/03/2023;66;63
115;02/05/2023;66;63
116;02/01/2023;67;63
117;06/01/2023;67;63
118;08/01/2023;67;63
119;08/02/2023;67;63
120;28/03/2023;67;63
121;29/03/2023;67;63
122;07/04/2023;67;63
123;10/04/2023;67;63
124;06/02/2023;68;63
125;06/03/2023;68;63
126;24/03/2023;68;63
127;12/04/2023;68;63
128;19/12/2022;69;63
129;11/02/2023;69;63
130;13/02/2023;69;63
131;26/03/2023;69;63
132;30/01/2023;70;63
133;03/03/2023;70;63
134;05/03/2023;70;63
135;24/02/2023;74;63
136;26/02/2023;74;63
137;04/02/2023;119;63
